Classe2;Sample.ID;LD1;LD2;LD3;LD4
BIOFILTRO;33;3.810192485134539;-1.1473304822057693;1.8623972436513245;-0.17864380306366096
BIOFILTRO;18;1.6410244353511674;0.28179850105594295;-0.6439988928632878;1.9813229413028344
BIOFILTRO;33;6.380913002542743;-0.026523569872872986;0.7405248284411646;-1.7056098469170082
BIOFILTRO;38;6.702828648843393;0.9833359765433366;0.2954859588472095;0.1876538490765224
BIOFILTRO;38;7.074009817498695;0.2716346548122822;0.4216906507245167;1.6138022894868231
BIOFILTRO;38;5.101855690600407;-0.08797030642155654;0.7257491294438514;0.8914709255610268
BIOFILTRO;38;3.0295117445831536;-0.7924729654345952;1.054019869109562;1.048023651747497
BIOFILTRO;33;5.600325263559314;0.13295602326698588;0.5136190292164486;0.2887203116139803
BIOFILTRO;49;5.977482321340297;1.2159094796490342;-0.9329346599489647;-2.1543280913310983
BIOGAS;32;-1.265028314828648;-1.6323179152369376;-0.4129213587821643;-0.40075104122188054
BIOGAS;32;-1.3580058878425227;-1.8215677194095257;0.37575523139997435;-0.3720363794446009
BIOGAS;36;-0.13425745792361135;-1.0037347955401181;-1.100788578796456;0.9336548856982725
BIOGAS;5;-0.43608387529864706;1.3216632888027564;0.1464143917784827;0.6182378641267446
BIOGAS;36;-0.4299367309092725;-1.0669141961607143;-0.8881193472335084;0.4730868199080586
BIOGAS;48;0.1408645245575316;2.086505041041903;0.7347814982037739;1.5765004201364503
BIOGAS;48;-0.14228173001321956;1.8098053434890906;-0.16695458528717128;-1.694630229631712
BIOGAS;48;-1.642247262253739;-0.35468014700562883;0.30334344807041247;-2.655169704899906
BIOGAS;48;0.5248336744049874;-0.7906827203075589;0.5028436774393747;0.1754888799180446
BIOGAS;36;-0.5938564824345244;-0.960888073403642;-0.8137070331912856;-0.18646501337024604
BIOGAS;36;-0.9163011105878877;-1.1220368336787665;-0.40376929676080536;-0.16790667295002284
BIOGAS;36;-1.2458964143578772;-1.2065107739089374;0.3150083862556284;-0.23559595601162847
BIOGAS;32;-0.8234840106690738;-1.0673551996789765;-0.977015063366619;-0.264931781815524
BIOGAS;48;0.7243976540961022;-0.504658870923276;0.49657457245426956;0.08020924406544795
BIOGAS;32;-0.7423094067789823;-1.9191124294088013;-0.3785971834487052;0.0324070193447203
BIOGAS;5;0.50490029240535;1.163541252834329;-0.7751217017007663;2.179787846440638
BIOGAS;5;0.6799189015975359;1.0228918763989165;-3.358912221330606;0.2212999899242075
BIOGAS;21;0.32067693092977045;-0.06497948593608381;-1.0455685935565937;3.4300977382910527
BIOGAS;21;-0.09095209223907036;0.17028454707092938;-1.341376608017291;2.5394963494285108
BIOGAS;21;-1.0117100502489778;-0.047545802655248444;-3.02560776888715;0.047512144482128545
BIOGAS;21;-0.12906893053806803;-0.5588636502236473;-1.9169661522811912;0.43547021730474594
