Classe2;Sample.ID;PC1;PC2;PC3;PC4;PC5
BIOGAS;32;0.49429294760332;1.7968537457881393;0.5690061720070656;0.3882751389235051;-0.0774193825724969
BIOGAS;32;0.8043933603561357;2.0787575201958237;0.4594033381836841;0.6461704128043984;-0.12594329435570134
BIOGAS;36;0.11573409358075872;0.6402621925591249;0.7130020458252754;-0.33472538571041305;0.13746569875404135
BIOGAS;5;-2.1646233260658434;-2.5868373190906633;0.6025636230755507;-0.2990320804550683;0.9398402529947626
BIOGAS;36;0.1960036931819332;0.9064962894561464;0.6929773533475119;-0.17941770682012828;0.06289563488852981
BIOGAS;48;-2.1461507243332623;-0.028139136838396955;-1.6933225587308975;-0.36487464536165903;-0.24817305799991693
BIOGAS;48;-0.307765031646707;-0.6195624872552724;-0.3881449860158073;-0.4910422072417905;0.3291358091051942
BIOGAS;48;-0.5620023738968983;1.3920087176710694;-2.413914798825445;2.4959892005191073;-1.1929942119036046
BIOGAS;48;1.5177606931865968;0.6771841847993701;-0.3617549390679975;0.0055741486032645;0.5807550339605974
BIOGAS;36;0.3423112067699575;1.015860331183308;0.6166674868165142;-0.08978565234521761;0.04153377889330962
BIOGAS;36;0.32130039352487183;1.3149378147278963;0.6257913962469596;0.10489966498723488;-0.06116602971417258
BIOGAS;36;0.4275911180637946;1.665385761351602;0.5749680903854459;0.36518965120238245;-0.16867907604384316
BIOGAS;32;0.2776319133614023;1.1736535922727163;0.6296872548894348;-0.030633098123473788;0.010042073573493711
BIOGAS;48;1.471932385310505;0.42293852734141624;-0.4048188184437226;-0.12297626745770594;0.6450464260490052
BIOGAS;32;0.8928540558685616;1.6828329419908727;0.46439823340784026;0.3513568383576088;0.038608741041010516
BIOGAS;5;-1.9358874827403163;-2.4816062031058244;0.8373120750410536;-0.9661862405325732;0.7346742768120531
BIOGAS;5;-1.01088317604055;-1.5511889930353624;0.6770649107089785;-1.4708570655689133;0.6714788767060904
BIOGAS;21;-1.6677519473074;-0.7502891794419397;0.09288785106458702;-0.7826223504789508;0.7593409597172605
BIOGAS;21;-1.916363519399428;-0.42377787714053966;-0.2730392324760853;-0.6367272984805085;0.7015053803546182
BIOGAS;21;-1.0195952488505355;0.4695696964005797;0.06807521797546152;-0.6541882112788203;0.42300981429081436
BIOGAS;21;-0.15056872416140651;0.3212358371421241;0.2507548086521349;-0.5216403782652667;0.5879930231377425
